Ref,Val,Package,PosX,PosY,Rot,Side
"C5","22uF","C_0805_2012Metric",120.900000,-123.350000,-90.000000,top
"C6","22uF","C_0805_2012Metric",124.500000,-116.550000,0.000000,top
"C7","22uF","C_0805_2012Metric",117.200000,-116.450000,180.000000,top
"C8","4.7uF","C_0603_1608Metric",116.800000,-120.750000,180.000000,top
"C9","22uF","C_0805_2012Metric",59.800000,-120.850000,-90.000000,top
"C10","22uF","C_0805_2012Metric",59.600000,-112.392300,90.000000,top
"C11","4.7uF","C_0603_1608Metric",57.900000,-118.150000,180.000000,top
"C12","4.7uF","C_0603_1608Metric",57.850000,-115.100000,180.000000,top
"C13","100nF","C_01005_0402Metric",61.250000,-119.800000,90.000000,top
"C14","4.7uF","C_0603_1608Metric",64.350000,-113.000000,-90.000000,top
"C15","22uF","C_0805_2012Metric",66.400000,-116.692300,0.000000,top
"C16","4.7uF","C_0603_1608Metric",62.400000,-120.692300,-90.000000,top
"C52","10uF","C_0603_1608Metric",138.025000,-100.275000,180.000000,top
"C53","100nF","C_0402_1005Metric",138.300000,-99.075000,180.000000,top
"C54","100nF","C_01005_0402Metric",117.600000,-118.350000,0.000000,top
"C55","4.7uF","C_0603_1608Metric",63.750000,-120.692300,-90.000000,top
"C56","100nF","C_0402_1005Metric",92.370000,-119.050000,180.000000,top
"C57","100nF","C_0402_1005Metric",100.000000,-127.200000,0.000000,top
"C58","27pF","C_0402_1005Metric",110.750000,-122.030000,180.000000,top
"C59","27pF","C_0402_1005Metric",108.230000,-118.830000,-90.000000,top
"C60","100nF","C_0402_1005Metric",92.550000,-121.750000,180.000000,top
"C74","10uF","C_0603_1608Metric",68.400000,-98.125000,0.000000,top
"C76","100nF","C_0402_1005Metric",68.100000,-99.325000,0.000000,top
"C114","4.7uF","C_0603_1608Metric",141.350000,-114.450000,0.000000,top
"C115","100nF","C_0402_1005Metric",142.600000,-113.300000,0.000000,top
"C116","4.7uF","C_0603_1608Metric",140.150000,-113.050000,0.000000,top
"C117","100nF","C_0402_1005Metric",141.000000,-111.850000,0.000000,top
"C151","10u","C_0805_2012Metric",143.350000,-121.700000,180.000000,top
"C152","100n","C_0402_1005Metric",143.850000,-120.250000,180.000000,top
"D1","RED","LED_0402_1005Metric",92.467500,-115.600000,0.000000,top
"D2","GRE","LED_0402_1005Metric",92.450000,-116.650000,0.000000,top
"D3","BLU","LED_0402_1005Metric",92.450000,-117.700000,0.000000,top
"D4","AQ3045","AQ304501ETG",144.850000,-116.650000,90.000000,top
"D5","BLUE","LED_0402_1005Metric",132.825000,-116.400000,180.000000,top
"D6","RED","LED_0402_1005Metric",132.775000,-115.350000,180.000000,top
"D7","AQ3045","AQ304501ETG",144.850000,-115.350000,-90.000000,top
"D8","AQ3045","AQ304501ETG",144.500000,-118.800000,90.000000,top
"D10","RED","LED_0402_1005Metric",112.832500,-112.350000,180.000000,top
"FB1","330Ohm","L_0805_2012Metric",91.787500,-120.400000,180.000000,top
"FB3","BLM21PG121SN1D","L_1206_3216Metric",146.200000,-120.150000,-90.000000,top
"IC1","CP2102N-A02-GQFN28","QFN50P500X500X80-29N-D",136.800000,-115.650000,180.000000,top
"IC3","SS8050-HF","SOT95P240X115-3N",139.450000,-122.450000,0.000000,top
"IC4","SS8050-HF","SOT95P240X115-3N",135.150000,-122.450000,180.000000,top
"IC7","XC6SLX25-2FT256C","BGA256C100P16X16_1700X1700X155",103.850000,-101.550000,0.000000,top
"J1","USB4110-GF-A","USB4110GFA",151.886500,-116.050000,90.000000,top
"J2","1140084168","1140084168",60.500000,-98.075000,-90.000000,top
"J3","1140084168","1140084168",147.450000,-99.475000,90.000000,top
"J4","ISP","PinHeader_1x06_P2.54mm_Vertical",116.920000,-130.500000,90.000000,top
"J5","52207-1485","522071485",80.250000,-130.913000,0.000000,top
"J6","XF2M-5015-1A","XF2M50151A",103.750000,-84.550000,180.000000,top
